STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 49,17060101,1,     ,     ,     ,     ,                    ,     ,
 49,17060101,2,     ,  430,     ,     ,                    ,     ,
 49,17060101,3,     ,     ,     ,     ,                    ,     ,
 49,17060102,1,     ,     ,     ,     ,                    ,     ,
 49,17060102,2,     ,  430,     ,     ,                    ,     ,
 49,17060102,3,     ,     ,     ,     ,                    ,     ,
 49,17060103,1,     ,     ,     ,     ,                    ,     ,
 49,17060103,2,     ,  410,     ,     ,                    ,     ,
 49,17060103,3,     ,     ,     ,     ,                    ,     ,
 49,17060104,1,     ,     ,     ,     ,                    ,     ,
 49,17060104,2,     ,  490,     ,     ,                    ,     ,
 49,17060104,3,     ,     ,     ,     ,                    ,     ,
 49,17060105,1,     ,     ,     ,     ,                    ,     ,
 49,17060105,2,     ,  400,     ,     ,                    ,     ,
 49,17060105,3,     ,     ,     ,     ,                    ,     ,
 49,17060106,1,     ,     ,     ,     ,                    ,     ,
 49,17060106,2,     ,  400,     ,     ,                    ,     ,
 49,17060106,3,     ,     ,     ,     ,                    ,     ,
 49,17060107,1,     ,     ,     ,     ,                    ,     ,
 49,17060107,2,     ,  390,     ,     ,                    ,     ,
 49,17060107,3,     ,     ,     ,     ,                    ,     ,
 49,17060108,1,     ,     ,     ,     ,                    ,     ,
 49,17060108,2,     ,  390,     ,     ,                    ,     ,
 49,17060108,3,     ,     ,     ,     ,                    ,     ,
 49,17060109,1,     ,     ,     ,     ,                    ,     ,
 49,17060109,2,     ,  380,     ,     ,                    ,     ,
 49,17060109,3,     ,     ,     ,     ,                    ,     ,
 49,17060110,1,     ,     ,     ,     ,                    ,     ,
 49,17060110,2,     ,     ,     ,     ,                    ,     ,
 49,17060110,3,     ,     ,     ,     ,                    ,     ,
 49,17060111,1,     ,     ,     ,     ,                    ,     ,
 49,17060111,2,     ,     ,     ,     ,                    ,     ,
 49,17060111,3,     ,     ,     ,     ,                    ,     ,
 49,17060112,1,     ,     ,     ,     ,                    ,     ,
 49,17060112,2,     ,     ,     ,     ,                    ,     ,
 49,17060112,3,     ,     ,     ,     ,                    ,     ,
 49,17060113,1,     ,     ,     ,     ,                    ,     ,
 49,17060113,2,     ,     ,    Z,     ,                    ,     ,
 49,17060113,3,     ,     ,     ,     ,                    ,     ,
 49,17060114,1,     ,     ,     ,     ,                    ,     ,
 49,17060114,2,     ,     ,    O,     ,                    ,     ,
 49,17060114,3,     ,     ,     ,     ,                    ,     ,
 49,17060115,1,     ,     ,     ,     ,                    ,     ,
 49,17060115,2,     ,     ,     ,     ,                    ,     ,
 49,17060115,3,     ,     ,     ,     ,                    ,     ,
 49,17060116,1,     ,     ,     ,     ,                    ,     ,
 49,17060116,2,     ,     ,  OZO,     ,                    ,     ,
 49,17060116,3,     ,     ,     ,     ,                    ,     ,
 49,17060117,1,     ,     ,     ,     ,                    ,     ,
 49,17060117,2,     ,  380,    O,     ,                    ,     ,
 49,17060117,3,     ,     ,     ,     ,                    ,     ,
 49,17060118,1,     ,     ,     ,     ,                    ,     ,
 49,17060118,2,     ,  350,    O,     ,                    ,     ,
 49,17060118,3,     ,     ,     ,     ,                    ,     ,
 49,17060119,1,     ,     ,     ,     ,                    ,     ,
 49,17060119,2,     ,  330,    O,     ,                    ,     ,
 49,17060119,3,     ,     ,     ,     ,                    ,     ,
 49,17060120,1,     ,     ,     ,     ,                    ,     ,
 49,17060120,2,     ,  300,  ONO,     ,                    ,     ,
 49,17060120,3,     ,     ,     ,     ,                    ,     ,
 49,17060121,1,     ,     ,     ,     ,                    ,     ,
 49,17060121,2,     ,  320,  WZW,     ,                    ,     ,
 49,17060121,3,     ,     ,     ,     ,                    ,     ,
 49,17060122,1,     ,     ,     ,     ,                    ,     ,
 49,17060122,2,     ,  360,  WNW,     ,                    ,     ,
 49,17060122,3,     ,     ,     ,     ,                    ,     ,
 49,17060123,1,     ,     ,     ,     ,                    ,     ,
 49,17060123,2,     ,  390,  NNO,     ,                    ,     ,
 49,17060123,3,     ,     ,     ,     ,                    ,     ,
 49,17060124,1,     ,     ,     ,     ,                    ,     ,
 49,17060124,2,     ,  380,   ZW,     ,                    ,     ,
 49,17060124,3,     ,     ,     ,     ,                    ,     ,
 49,17060125,1,     ,     ,     ,     ,                    ,     ,
 49,17060125,2,     ,  370,    Z,     ,                    ,     ,
 49,17060125,3,     ,     ,     ,     ,                    ,     ,
 49,17060126,1,     ,     ,     ,     ,                    ,     ,
 49,17060126,2,     ,  340,    Z,     ,                    ,     ,
 49,17060126,3,     ,     ,     ,     ,                    ,     ,
 49,17060127,1,     ,     ,     ,     ,                    ,     ,
 49,17060127,2,     ,  340,    Z,     ,                    ,     ,
 49,17060127,3,     ,     ,     ,     ,                    ,     ,
 49,17060128,1,     ,     ,     ,     ,                    ,     ,
 49,17060128,2,     ,  320,    O,     ,                    ,     ,
 49,17060128,3,     ,     ,     ,     ,                    ,     ,
 49,17060129,1,     ,     ,     ,     ,                    ,     ,
 49,17060129,2,     ,  360,  OZO,     ,                    ,     ,
 49,17060129,3,     ,     ,     ,     ,                    ,     ,
 49,17060130,1,     ,     ,     ,     ,                    ,     ,
 49,17060130,2,     ,  370,  ZZO,     ,                    ,     ,
 49,17060130,3,     ,     ,     ,     ,                    ,     ,
 49,17060131,1,     ,     ,     ,     ,                    ,     ,
 49,17060131,2,     ,  370,  ZZO,     ,                    ,     ,
