STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 49,17060131,3,     ,     ,     ,     ,                    ,     ,
 49,17060201,1,     ,     ,     ,     ,                    ,     ,
 49,17060201,2,     ,  380,    O,     ,                    ,     ,
 49,17060201,3,     ,     ,     ,     ,                    ,     ,
 49,17060202,1,     ,     ,     ,     ,                    ,     ,
 49,17060202,2,     ,  360,  ONO,     ,                    ,     ,
 49,17060202,3,     ,     ,     ,     ,                    ,     ,
 49,17060203,1,     ,     ,     ,     ,                    ,     ,
 49,17060203,2,     ,  340,  ONO,     ,                    ,     ,
 49,17060203,3,     ,     ,     ,     ,                    ,     ,
 49,17060204,1,     ,     ,     ,     ,                    ,     ,
 49,17060204,2,     ,  350,   ZO,     ,                    ,     ,
 49,17060204,3,     ,     ,     ,     ,                    ,     ,
 49,17060205,1,     ,     ,     ,     ,                    ,     ,
 49,17060205,2,     ,  340,    Z,     ,                    ,     ,
 49,17060205,3,     ,     ,     ,     ,                    ,     ,
 49,17060206,1,     ,     ,     ,     ,                    ,     ,
 49,17060206,2,     ,  360,    W,     ,                    ,     ,
 49,17060206,3,     ,     ,     ,     ,                    ,     ,
 49,17060207,1,     ,     ,     ,     ,                    ,     ,
 49,17060207,2,     ,  370,   ZW,     ,                    ,     ,
 49,17060207,3,     ,     ,     ,     ,                    ,     ,
 49,17060208,1,     ,     ,     ,     ,                    ,     ,
 49,17060208,2,     ,  410,    W,     ,                    ,     ,
 49,17060208,3,     ,     ,     ,     ,                    ,     ,
 49,17060209,1,     ,     ,     ,     ,                    ,     ,
 49,17060209,2,     ,  430,  NNW,     ,                    ,     ,
 49,17060209,3,     ,     ,     ,     ,                    ,     ,
 49,17060210,1,     ,     ,     ,     ,                    ,     ,
 49,17060210,2,     ,  390,   ZO,     ,                    ,     ,
 49,17060210,3,     ,     ,     ,     ,                    ,     ,
 49,17060211,1,     ,     ,     ,     ,                    ,     ,
 49,17060211,2,     ,  450,  WZW,     ,                    ,     ,
 49,17060211,3,     ,     ,     ,     ,                    ,     ,
 49,17060212,1,     ,     ,     ,     ,                    ,     ,
 49,17060212,2,     ,  470,    O,     ,                    ,     ,
 49,17060212,3,     ,     ,     ,     ,                    ,     ,
 49,17060213,1,     ,     ,     ,     ,                    ,     ,
 49,17060213,2,     ,  410,    O,     ,                    ,     ,
 49,17060213,3,     ,     ,     ,     ,                    ,     ,
 49,17060214,1,     ,     ,     ,     ,                    ,     ,
 49,17060214,2,     ,  420,     ,     ,                    ,     ,
 49,17060214,3,     ,     ,     ,     ,                    ,     ,
 49,17060215,1,     ,     ,     ,     ,                    ,     ,
 49,17060215,2,     ,  440,     ,     ,                    ,     ,
 49,17060215,3,     ,     ,     ,     ,                    ,     ,
 49,17060216,1,     ,     ,     ,     ,                    ,     ,
 49,17060216,2,     ,  440,     ,     ,                    ,     ,
 49,17060216,3,     ,     ,     ,     ,                    ,     ,
 49,17060217,1,     ,     ,     ,     ,                    ,     ,
 49,17060217,2,     ,  440,    W,     ,                    ,     ,
 49,17060217,3,     ,     ,     ,     ,                    ,     ,
 49,17060218,1,     ,     ,     ,     ,                    ,     ,
 49,17060218,2,     ,  410,     ,     ,                    ,     ,
 49,17060218,3,     ,     ,     ,     ,                    ,     ,
 49,17060219,1,     ,     ,     ,     ,                    ,     ,
 49,17060219,2,     ,  430,  NNO,     ,                    ,     ,
 49,17060219,3,     ,     ,     ,     ,                    ,     ,
 49,17060220,1,     ,     ,     ,     ,                    ,     ,
 49,17060220,2,     ,  390,     ,     ,                    ,     ,
 49,17060220,3,     ,     ,     ,     ,                    ,     ,
 49,17060221,1,     ,     ,     ,     ,                    ,     ,
 49,17060221,2,     ,  400,    O,     ,                    ,     ,
 49,17060221,3,     ,     ,     ,     ,                    ,     ,
 49,17060222,1,     ,     ,     ,     ,                    ,     ,
 49,17060222,2,     ,  380,     ,     ,                    ,     ,
 49,17060222,3,     ,     ,     ,     ,                    ,     ,
 49,17060223,1,     ,     ,     ,     ,                    ,     ,
 49,17060223,2,     ,  370,  NNW,     ,                    ,     ,
 49,17060223,3,     ,     ,     ,     ,                    ,     ,
 49,17060224,1,     ,     ,     ,     ,                    ,     ,
 49,17060224,2,     ,  440,  NNW,     ,                    ,     ,
 49,17060224,3,     ,     ,     ,     ,                    ,     ,
 49,17060225,1,     ,     ,     ,     ,                    ,     ,
 49,17060225,2,     ,  400,     ,     ,                    ,     ,
 49,17060225,3,     ,     ,     ,     ,                    ,     ,
 49,17060226,1,     ,     ,     ,     ,                    ,     ,
 49,17060226,2,     ,  420,  ZZW,     ,                    ,     ,
 49,17060226,3,     ,     ,     ,     ,                    ,     ,
 49,17060227,1,     ,     ,     ,     ,                    ,     ,
 49,17060227,2,     ,  390,    O,     ,                    ,     ,
 49,17060227,3,     ,     ,     ,     ,                    ,     ,
 49,17060228,1,     ,     ,     ,     ,                    ,     ,
 49,17060228,2,     ,  370,  ZZW,     ,                    ,     ,
 49,17060228,3,     ,     ,     ,     ,                    ,     ,
 49,17060301,1,     ,     ,     ,     ,                    ,     ,
 49,17060301,2,     ,  410,    W,     ,                    ,     ,
 49,17060301,3,     ,     ,     ,     ,                    ,     ,
 49,17060302,1,     ,     ,     ,     ,                    ,     ,
 49,17060302,2,     ,  420,  WNW,     ,                    ,     ,
 49,17060302,3,     ,     ,     ,     ,                    ,     ,
 49,17060303,1,     ,     ,     ,     ,                    ,     ,
 49,17060303,2,     ,  460,  WNW,     ,                    ,     ,
 49,17060303,3,     ,     ,     ,     ,                    ,     ,
 49,17060304,1,     ,     ,     ,     ,                    ,     ,
 49,17060304,2,     ,  430,  WZW,     ,                    ,     ,
 49,17060304,3,     ,     ,     ,     ,                    ,     ,
 49,17060305,1,     ,     ,     ,     ,                    ,     ,
 49,17060305,2,     ,  460,    O,     ,                    ,     ,
 49,17060305,3,     ,     ,     ,     ,                    ,     ,
 49,17060306,1,     ,     ,     ,     ,                    ,     ,
 49,17060306,2,     ,  450,    O,     ,                    ,     ,
 49,17060306,3,     ,     ,     ,     ,                    ,     ,
 49,17060307,1,     ,     ,     ,     ,                    ,     ,
 49,17060307,2,     ,  420,    O,     ,                    ,     ,
 49,17060307,3,     ,     ,     ,     ,                    ,     ,
 49,17060308,1,     ,     ,     ,     ,                    ,     ,
 49,17060308,2,     ,  400,  ZZW,     ,                    ,     ,
 49,17060308,3,     ,     ,     ,     ,                    ,     ,
 49,17060309,1,     ,     ,     ,     ,                    ,     ,
 49,17060309,2,     ,  450,  ONO,     ,                    ,     ,
 49,17060309,3,     ,     ,     ,     ,                    ,     ,
 49,17060310,1,     ,     ,     ,     ,                    ,     ,
 49,17060310,2,     ,  440,  NNO,     ,                    ,     ,
 49,17060310,3,     ,     ,     ,     ,                    ,     ,
 49,17060311,1,     ,     ,     ,     ,                    ,     ,
 49,17060311,2,     ,  450,    Z,     ,                    ,     ,
 49,17060311,3,     ,     ,     ,     ,                    ,     ,
 49,17060312,1,     ,     ,     ,     ,                    ,     ,
 49,17060312,2,     ,  460,  NNW,     ,                    ,     ,
 49,17060312,3,     ,     ,     ,     ,                    ,     ,
 49,17060313,1,     ,     ,     ,     ,                    ,     ,
 49,17060313,2,     ,  440,    W,     ,                    ,     ,
 49,17060313,3,     ,     ,     ,     ,                    ,     ,
 49,17060314,1,     ,     ,     ,     ,                    ,     ,
 49,17060314,2,     ,  420,    N,     ,                    ,     ,
 49,17060314,3,     ,     ,     ,     ,                    ,     ,
 49,17060315,1,     ,     ,     ,     ,                    ,     ,
 49,17060315,2,     ,  440,    N,     ,                    ,     ,
 49,17060315,3,     ,     ,     ,     ,                    ,     ,
 49,17060316,1,     ,     ,     ,     ,                    ,     ,
 49,17060316,2,     ,  380,  ZZW,     ,                    ,     ,
 49,17060316,3,     ,     ,     ,     ,                    ,     ,
 49,17060317,1,     ,     ,     ,     ,                    ,     ,
 49,17060317,2,     ,  430,  ZZW,     ,                    ,     ,
 49,17060317,3,     ,     ,     ,     ,                    ,     ,
 49,17060318,1,     ,     ,     ,     ,                    ,     ,
 49,17060318,2,     ,  450,  WZW,     ,                    ,     ,
 49,17060318,3,     ,     ,     ,     ,                    ,     ,
 49,17060319,1,     ,     ,     ,     ,                    ,     ,
 49,17060319,2,     ,  470,  ZZW,     ,                    ,     ,
 49,17060319,3,     ,     ,     ,     ,                    ,     ,
 49,17060320,1,     ,     ,     ,     ,                    ,     ,
 49,17060320,2,     ,  470,  WNW,     ,                    ,     ,
 49,17060320,3,     ,     ,     ,     ,                    ,     ,
 49,17060321,1,     ,     ,     ,     ,                    ,     ,
 49,17060321,2,     ,  440,    W,     ,                    ,     ,
 49,17060321,3,     ,     ,     ,     ,                    ,     ,
 49,17060322,1,     ,     ,     ,     ,                    ,     ,
 49,17060322,2,     ,  450,  WNW,     ,                    ,     ,
 49,17060322,3,     ,     ,     ,     ,                    ,     ,
 49,17060323,1,     ,     ,     ,     ,                    ,     ,
 49,17060323,2,     ,  430,  ZZO,     ,                    ,     ,
 49,17060323,3,     ,     ,     ,     ,                    ,     ,
 49,17060324,1,     ,     ,     ,     ,                    ,     ,
 49,17060324,2,     ,  450,    W,     ,                    ,     ,
 49,17060324,3,     ,     ,     ,     ,                    ,     ,
 49,17060325,1,     ,     ,     ,     ,                    ,     ,
 49,17060325,2,     ,  450,  WZW,     ,                    ,     ,
 49,17060325,3,     ,     ,     ,     ,                    ,     ,
 49,17060326,1,     ,     ,     ,     ,                    ,     ,
 49,17060326,2,     ,  450,  WZW,     ,                    ,     ,
 49,17060326,3,     ,     ,     ,     ,                    ,     ,
 49,17060327,1,     ,     ,     ,     ,                    ,     ,
 49,17060327,2,     ,  460,  WZW,     ,                    ,     ,
 49,17060327,3,     ,     ,     ,     ,                    ,     ,
 49,17060328,1,     ,     ,     ,     ,                    ,     ,
 49,17060328,2,     ,  500,    W,     ,                    ,     ,
 49,17060328,3,     ,     ,     ,     ,                    ,     ,
 49,17060329,1,     ,     ,     ,     ,                    ,     ,
 49,17060329,2,     ,  470,   NW,     ,                    ,     ,
 49,17060329,3,     ,     ,     ,     ,                    ,     ,
 49,17060330,1,     ,     ,     ,     ,                    ,     ,
 49,17060330,2,     ,  470,   NW,     ,                    ,     ,
 49,17060330,3,     ,     ,     ,     ,                    ,     ,
 49,17060331,1,     ,     ,     ,     ,                    ,     ,
 49,17060331,2,     ,  450,  WNW,     ,                    ,     ,
 49,17060331,3,     ,     ,     ,     ,                    ,     ,
 49,17060401,1,     ,     ,     ,     ,                    ,     ,
 49,17060401,2,     ,  480,   NW,     ,                    ,     ,
 49,17060401,3,     ,     ,     ,     ,                    ,     ,
 49,17060402,1,     ,     ,     ,     ,                    ,     ,
 49,17060402,2,     ,  520,  WNW,     ,                    ,     ,
 49,17060402,3,     ,     ,     ,     ,                    ,     ,
 49,17060403,1,     ,     ,     ,     ,                    ,     ,
 49,17060403,2,     ,  490,  ONO,     ,                    ,     ,
 49,17060403,3,     ,     ,     ,     ,                    ,     ,
 49,17060404,1,     ,     ,     ,     ,                    ,     ,
 49,17060404,2,     ,  510,    O,     ,                    ,     ,
 49,17060404,3,     ,     ,     ,     ,                    ,     ,
 49,17060405,1,     ,     ,     ,     ,                    ,     ,
 49,17060405,2,     ,  480,  NNO,     ,                    ,     ,
 49,17060405,3,     ,     ,     ,     ,                    ,     ,
 49,17060406,1,     ,     ,     ,     ,                    ,     ,
 49,17060406,2,     ,  510,  WZW,     ,                    ,     ,
 49,17060406,3,     ,     ,     ,     ,                    ,     ,
 49,17060407,1,     ,     ,     ,     ,                    ,     ,
 49,17060407,2,     ,  480,  WNW,     ,                    ,     ,
 49,17060407,3,     ,     ,     ,     ,                    ,     ,
 49,17060408,1,     ,     ,     ,     ,                    ,     ,
 49,17060408,2,     ,  490,  WNW,     ,                    ,     ,
 49,17060408,3,     ,     ,     ,     ,                    ,     ,
 49,17060409,1,     ,     ,     ,     ,                    ,     ,
 49,17060409,2,     ,  470,    N,     ,                    ,     ,
 49,17060409,3,     ,     ,     ,     ,                    ,     ,
 49,17060410,1,     ,     ,     ,     ,                    ,     ,
 49,17060410,2,     ,  450,  WNW,     ,                    ,     ,
 49,17060410,3,     ,     ,     ,     ,                    ,     ,
 49,17060411,1,     ,     ,     ,     ,                    ,     ,
 49,17060411,2,     ,  470,  WNW,     ,                    ,     ,
 49,17060411,3,     ,     ,     ,     ,                    ,     ,
 49,17060412,1,     ,     ,     ,     ,                    ,     ,
 49,17060412,2,     ,  480,    W,     ,                    ,     ,
 49,17060412,3,     ,     ,     ,     ,                    ,     ,
 49,17060413,1,     ,     ,     ,     ,                    ,     ,
 49,17060413,2,     ,  500,   ZW,     ,                    ,     ,
 49,17060413,3,     ,     ,     ,     ,                    ,     ,
 49,17060414,1,     ,     ,     ,     ,                    ,     ,
 49,17060414,2,     ,  480,  ZZW,     ,                    ,     ,
 49,17060414,3,     ,     ,     ,     ,                    ,     ,
 49,17060415,1,     ,     ,     ,     ,                    ,     ,
 49,17060415,2,     ,  510,  WZW,     ,                    ,     ,
 49,17060415,3,     ,     ,     ,     ,                    ,     ,
 49,17060416,1,     ,     ,     ,     ,                    ,     ,
 49,17060416,2,     ,  540,  WZW,     ,                    ,     ,
 49,17060416,3,     ,     ,     ,     ,                    ,     ,
 49,17060417,1,     ,     ,     ,     ,                    ,     ,
 49,17060417,2,     ,  510,   ZW,     ,                    ,     ,
 49,17060417,3,     ,     ,     ,     ,                    ,     ,
 49,17060418,1,     ,     ,     ,     ,                    ,     ,
 49,17060418,2,     ,  480,  WNW,     ,                    ,     ,
 49,17060418,3,     ,     ,     ,     ,                    ,     ,
 49,17060419,1,     ,     ,     ,     ,                    ,     ,
 49,17060419,2,     ,  490,   ZW,     ,                    ,     ,
 49,17060419,3,     ,     ,     ,     ,                    ,     ,
 49,17060420,1,     ,     ,     ,     ,                    ,     ,
 49,17060420,2,     ,  510,    W,     ,                    ,     ,
 49,17060420,3,     ,     ,     ,     ,                    ,     ,
 49,17060421,1,     ,     ,     ,     ,                    ,     ,
 49,17060421,2,     ,  510,    W,     ,                    ,     ,
 49,17060421,3,     ,     ,     ,     ,                    ,     ,
 49,17060422,1,     ,     ,     ,     ,                    ,     ,
 49,17060422,2,     ,  530,  WNW,     ,                    ,     ,
 49,17060422,3,     ,     ,     ,     ,                    ,     ,
 49,17060423,1,     ,     ,     ,     ,                    ,     ,
 49,17060423,2,     ,  560,  WNW,     ,                    ,     ,
 49,17060423,3,     ,     ,     ,     ,                    ,     ,
 49,17060424,1,     ,     ,     ,     ,                    ,     ,
 49,17060424,2,     ,  530,  WNW,     ,                    ,     ,
 49,17060424,3,     ,     ,     ,     ,                    ,     ,
 49,17060425,1,     ,     ,     ,     ,                    ,     ,
 49,17060425,2,     ,  510,  WNW,     ,                    ,     ,
 49,17060425,3,     ,     ,     ,     ,                    ,     ,
 49,17060426,1,     ,     ,     ,     ,                    ,     ,
 49,17060426,2,     ,  510,    Z,     ,                    ,     ,
 49,17060426,3,     ,     ,     ,     ,                    ,     ,
 49,17060427,1,     ,     ,     ,     ,                    ,     ,
 49,17060427,2,     ,  510,   NW,     ,                    ,     ,
 49,17060427,3,     ,     ,     ,     ,                    ,     ,
 49,17060428,1,     ,     ,     ,     ,                    ,     ,
 49,17060428,2,     ,  500,  WNW,     ,                    ,     ,
 49,17060428,3,     ,     ,     ,     ,                    ,     ,
 49,17060429,1,     ,     ,     ,     ,                    ,     ,
 49,17060429,2,     ,  520,  ZZO,     ,                    ,     ,
 49,17060429,3,     ,     ,     ,     ,                    ,     ,
 49,17060430,1,     ,     ,     ,     ,                    ,     ,
 49,17060430,2,     ,  530,   NO,     ,                    ,     ,
 49,17060430,3,     ,     ,     ,     ,                    ,     ,
 49,17060501,1,     ,     ,     ,     ,                    ,     ,
 49,17060501,2,     ,     ,     ,     ,                    ,     ,
 49,17060501,3,     ,     ,     ,     ,                    ,     ,
 49,17060502,1,     ,     ,     ,     ,                    ,     ,
 49,17060502,2,     ,     ,     ,     ,                    ,     ,
 49,17060502,3,     ,     ,     ,     ,                    ,     ,
 49,17060503,1,     ,     ,     ,     ,                    ,     ,
 49,17060503,2,     ,     ,     ,     ,                    ,     ,
 49,17060503,3,     ,     ,     ,     ,                    ,     ,
 49,17060504,1,     ,     ,     ,     ,                    ,     ,
 49,17060504,2,     ,     ,     ,     ,                    ,     ,
 49,17060504,3,     ,     ,     ,     ,                    ,     ,
 49,17060505,1,     ,     ,     ,     ,                    ,     ,
 49,17060505,2,     ,     ,     ,     ,                    ,     ,
 49,17060505,3,     ,     ,     ,     ,                    ,     ,
 49,17060506,1,     ,     ,     ,     ,                    ,     ,
 49,17060506,2,     ,  590,    W,     ,                    ,     ,
 49,17060506,3,     ,     ,     ,     ,                    ,     ,
 49,17060507,1,     ,     ,     ,     ,                    ,     ,
 49,17060507,2,     ,  610,    O,     ,                    ,     ,
 49,17060507,3,     ,     ,     ,     ,                    ,     ,
 49,17060508,1,     ,     ,     ,     ,                    ,     ,
 49,17060508,2,     ,  590,    O,     ,                    ,     ,
 49,17060508,3,     ,     ,     ,     ,                    ,     ,
 49,17060509,1,     ,     ,     ,     ,                    ,     ,
 49,17060509,2,     ,  670,   NO,     ,                    ,     ,
 49,17060509,3,     ,     ,     ,     ,                    ,     ,
 49,17060510,1,     ,     ,     ,     ,                    ,     ,
 49,17060510,2,     ,     ,   NO,     ,                    ,     ,
 49,17060510,3,     ,     ,     ,     ,                    ,     ,
 49,17060511,1,     ,     ,     ,     ,                    ,     ,
 49,17060511,2,     ,  650,   NO,     ,                    ,     ,
 49,17060511,3,     ,     ,     ,     ,                    ,     ,
 49,17060512,1,     ,     ,     ,     ,                    ,     ,
 49,17060512,2,     ,     ,     ,     ,                    ,     ,
 49,17060512,3,     ,     ,     ,     ,                    ,     ,
 49,17060513,1,     ,     ,     ,     ,                    ,     ,
 49,17060513,2,     ,  550,     ,     ,                    ,     ,
 49,17060513,3,     ,     ,     ,     ,                    ,     ,
 49,17060514,1,     ,     ,     ,     ,                    ,     ,
 49,17060514,2,     ,  560,    W,     ,                    ,     ,
 49,17060514,3,     ,     ,     ,     ,                    ,     ,
 49,17060515,1,     ,     ,     ,     ,                    ,     ,
 49,17060515,2,     ,  580,   ZW,     ,                    ,     ,
 49,17060515,3,     ,     ,     ,     ,                    ,     ,
 49,17060516,1,     ,     ,     ,     ,                    ,     ,
 49,17060516,2,     ,  560,    W,     ,                    ,     ,
 49,17060516,3,     ,     ,     ,     ,                    ,     ,
 49,17060517,1,     ,     ,     ,     ,                    ,     ,
 49,17060517,2,     ,  580,  WNW,     ,                    ,     ,
 49,17060517,3,     ,     ,     ,     ,                    ,     ,
 49,17060518,1,     ,     ,     ,     ,                    ,     ,
 49,17060518,2,     ,  560,   ZO,     ,                    ,     ,
 49,17060518,3,     ,     ,     ,     ,                    ,     ,
 49,17060519,1,     ,     ,     ,     ,                    ,     ,
 49,17060519,2,     ,  620,    O,     ,                    ,     ,
 49,17060519,3,     ,     ,     ,     ,                    ,     ,
 49,17060520,1,     ,     ,     ,     ,                    ,     ,
 49,17060520,2,     ,  560,   NO,     ,                    ,     ,
 49,17060520,3,     ,     ,     ,     ,                    ,     ,
 49,17060521,1,     ,     ,     ,     ,                    ,     ,
 49,17060521,2,     ,  520,   NW,     ,                    ,     ,
 49,17060521,3,     ,     ,     ,     ,                    ,     ,
 49,17060522,1,     ,     ,     ,     ,                    ,     ,
 49,17060522,2,     ,     ,     ,     ,                    ,     ,
 49,17060522,3,     ,     ,     ,     ,                    ,     ,
 49,17060523,1,     ,     ,     ,     ,                    ,     ,
 49,17060523,2,     ,     ,     ,     ,                    ,     ,
 49,17060523,3,     ,     ,     ,     ,                    ,     ,
 49,17060524,1,     ,     ,     ,     ,                    ,     ,
 49,17060524,2,     ,     ,     ,     ,                    ,     ,
 49,17060524,3,     ,     ,     ,     ,                    ,     ,
 49,17060525,1,     ,     ,     ,     ,                    ,     ,
 49,17060525,2,     ,     ,     ,     ,                    ,     ,
 49,17060525,3,     ,     ,     ,     ,                    ,     ,
 49,17060526,1,     ,     ,     ,     ,                    ,     ,
 49,17060526,2,     ,  660,   ZW,     ,                    ,     ,
 49,17060526,3,     ,     ,     ,     ,                    ,     ,
 49,17060527,1,     ,     ,     ,     ,                    ,     ,
 49,17060527,2,     ,  650,    Z,     ,                    ,     ,
 49,17060527,3,     ,     ,     ,     ,                    ,     ,
 49,17060528,1,     ,     ,     ,     ,                    ,     ,
 49,17060528,2,     ,  610,    Z,     ,                    ,     ,
 49,17060528,3,     ,     ,     ,     ,                    ,     ,
 49,17060529,1,     ,     ,     ,     ,                    ,     ,
 49,17060529,2,     ,  610,   ZW,     ,                    ,     ,
 49,17060529,3,     ,     ,     ,     ,                    ,     ,
 49,17060530,1,     ,     ,     ,     ,                    ,     ,
 49,17060530,2,     ,  600,    W,     ,                    ,     ,
 49,17060530,3,     ,     ,     ,     ,                    ,     ,
 49,17060531,1,     ,     ,     ,     ,                    ,     ,
 49,17060531,2,     ,  600,    Z,     ,                    ,     ,
 49,17060531,3,     ,     ,     ,     ,                    ,     ,
 49,17060601,1,     ,     ,     ,     ,                    ,     ,
 49,17060601,2,     ,  580,  WZW,     ,                    ,     ,
 49,17060601,3,     ,     ,     ,     ,                    ,     ,
 49,17060602,1,     ,     ,     ,     ,                    ,     ,
 49,17060602,2,     ,  590,   ZW,     ,                    ,     ,
 49,17060602,3,     ,     ,     ,     ,                    ,     ,
 49,17060603,1,     ,     ,     ,     ,                    ,     ,
 49,17060603,2,     ,  610,   ZW,     ,                    ,     ,
 49,17060603,3,     ,     ,     ,     ,                    ,     ,
 49,17060604,1,     ,     ,     ,     ,                    ,     ,
 49,17060604,2,     ,  610,   ZW,     ,                    ,     ,
 49,17060604,3,     ,     ,     ,     ,                    ,     ,
 49,17060605,1,     ,     ,     ,     ,                    ,     ,
 49,17060605,2,     ,  620,   ZW,     ,                    ,     ,
 49,17060605,3,     ,     ,     ,     ,                    ,     ,
 49,17060606,1,     ,     ,     ,     ,                    ,     ,
 49,17060606,2,     ,  640,  ZZW,     ,                    ,     ,
 49,17060606,3,     ,     ,     ,     ,                    ,     ,
 49,17060607,1,     ,     ,     ,     ,                    ,     ,
 49,17060607,2,     ,  630,   ZW,     ,                    ,     ,
