Station,InUit2013,InUit2014,InUit2015,InUit2016,InUit2017,InUit2018
Rotterdam Centraal,80015,81811,85246,91750,92928,96690
Rotterdam Lombardijen,6272,6296,6206,6348,6244,6610
Rotterdam Noord,2302,2329,2254,2289,2448,2431
Rotterdam Zuid,2799,2905,3031,3111,3279,3549
Santpoort Noord,864,822,797,936,831,833
Santpoort Zuid,866,799,803,891,874,901
Sassenheim,3000,3314,3479,3875,4181,4808
Schagen,5580,5484,5326,5311,5410,5325
Schiedam Centrum,18581,18721,18630,19636,21654,23164
Schiedam Nieuwland,2211,2205,2098,2151,,
Schinnen,247,231,246,259,,
Schiphol Airport,69437,68689,71585,78896,85859,92214
Sittard,12634,12259,12110,12125,10698,10286
Soest,231,231,211,201,218,218
Soest Zuid,2060,2021,2014,2005,1903,1916
Soestdijk,938,836,764,764,778,785
Spaubeek,237,259,261,240,,
Steenwijk,3021,3102,3232,3363,3646,3825
Susteren,928,918,918,840,,
Tiel,3687,3591,3445,3509,3637,3298
Tiel Passewaaij,1269,1403,1434,1505,1557,1494
Tilburg,33232,32093,32158,34045,34531,34503
Tilburg Reeshof,2563,2434,2556,2771,2771,2996
Tilburg Universiteit,7348,6549,6929,7162,6451,7106
Twello,1554,1462,1433,1456,1477,1518
Uitgeest,5336,5311,5167,5051,5119,4987
Utrecht Centraal,170207,176292,176552,181644,186313,194385
Utrecht Leidsche Rijn,0,716,784,904,2138,2766
Utrecht Lunetten,,,2885,3465,3597,3739
Utrecht Overvecht,6827,7720,8217,9170,8199,8677
Utrecht Terwijde,2626,2981,3285,3506,3744,3907
Utrecht Vaartsche Rijn,,,0,0,6252,7752
Utrecht Zuilen,1918,2227,2003,1290,1870,2094
Veenendaal Centrum,2438,2382,2239,2093,2277,2236
Veenendaal West,1549,1657,1619,1507,1580,1530
Veenendaal-de Klomp,3745,3807,4007,4229,4370,4446
Velp,1625,1500,1416,1489,1472,1482
Venlo,4571,4133,4370,4356,4272,4966
