STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 43,17280129,3,28060,  410,  NNW,    0,NEV                 ,     ,
 43,17280130,1,28053,  410,  NNW,   10,REG                 ,     ,
 43,17280130,2,28051,  460,  NNW,   10,REG                 ,     ,
 43,17280130,3,28062,  400,  NNW,   10,                    ,   12,
 43,17280131,1,28063,  370,    N,   10,                    ,     ,
 43,17280131,2,28082,  460,    N,   10,                    ,     ,
 43,17280131,3,28083,  360,    N,   10,                    ,     ,
 43,17280201,1,28091,  380,   ZW,    0,BET                 ,     ,
 43,17280201,2,28090,  400,    Z,   20,BET                 ,     ,
 43,17280201,3,28083,  350,    Z,   20,BET                 ,     ,
 43,17280202,1,28083,  360,  NNO,   10,BET                 ,     ,
 43,17280202,2,28082,  380,  NNO,   10,BET                 ,     ,
 43,17280202,3,28080,  340,  NNO,   10,BET                 ,     ,
 43,17280203,1,28080,  330,    Z,    0,SNE                 ,     ,
 43,17280203,2,28080,  360,    Z,    0,SNE                 ,     ,
 43,17280203,3,28090,  320,    Z,    0,HAG                 ,     ,
 43,17280204,1,28091,  330,   ZO,    0,                    ,     ,
 43,17280204,2,28092,  380,   ZO,    0,                    ,     ,
 43,17280204,3,28101,  350,   ZO,    0,REG                 ,   11,
 43,17280205,1,28102,  340,  ZZO,    0,BET                 ,     ,
 43,17280205,2,28113,  420,  ZZO,    0,BET                 ,     ,
 43,17280205,3,28113,  360,  ZZO,    0,BET                 ,     ,
 43,17280206,1,29001,  340,    W,    0,                    ,     ,
 43,17280206,2,29012,  360,    W,    0,                    ,     ,
 43,17280206,3,29033,  340,    W,    0,                    ,     ,
 43,17280207,1,29041,  320,    W,   10,                    ,     ,
 43,17280207,2,29051,  360,    W,   10,                    ,     ,
 43,17280207,3,29052,  280,    W,   10,                    ,     ,
 43,17280208,1,29052,  280,  NNW,    0,                    ,     ,
 43,17280208,2,29040,  320,  NNW,    0,                    ,     ,
 43,17280208,3,29040,  290,  NNW,    0,                    ,     ,
 43,17280209,1,29033,  280,    W,   10,                    ,     ,
 43,17280209,2,29040,  350,    W,   10,                    ,     ,
 43,17280209,3,29042,  280,    W,   10,                    ,     ,
 43,17280210,1,29042,  280,    W,   10,                    ,     ,
 43,17280210,2,29050,  350,    W,   10,                    ,     ,
 43,17280210,3,29050,  260,    W,   20,                    ,     ,
 43,17280211,1,29043,  270,    W,   20,                    ,     ,
 43,17280211,2,29042,  330,    W,   20,                    ,     ,
